#Bragalli, D'Ambrosio, Lee, Lodi, Toth (2008)
#PARAMETERS' DEFINITION FOR THE MODENA NETWORK

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure

param: NODE:     elev          demand            pmin           pmax :=
       164       35.927        0.00055           20             38.573
       165       36.265        0.00078           20             38.235
       166       32.667        0.00027           20             41.833
       167       32.754        0.00027           20             41.746
       168       32.884        0.00007           20             41.616
       169       34.085        0.00947           20             40.415
       170       36.093        0.00264           20             38.407
       171       36.049        0.00102           20             38.451
       172       36.041        0.00088           20             38.459
       173       36.017        0.00049           20             38.483
       174       31.757        0.00000           20             42.743
       175       31.91         0.00112           20             42.59
       176       31.799        0.00000           20             42.701
       177       31.483        0.00000           20             43.017
       178       31.116        0.00001           20             43.384
       179       31.096        0.00000           20             43.404
       180       31.194        0.00000           20             43.306
       181       30.392        0.00000           20             44.108
       182       30.547        0.00001           20             43.953
       183       31.134        0.00184           20             43.366
       184       31.81         0.00004           20             42.69
       185       32.345        0.00168           20             42.155
       186       32.826        0.00237           20             41.674
       187       33.694        0.00009           20             40.806
       188       33.175        0.00123           20             41.325
       189       33.229        0.00390           20             41.271
       190       33.343        0.00117           20             41.157
       191       33.772        0.00170           20             40.728
       192       33.768        0.00215           20             40.732
       193       32.204        0.00400           20             42.296
       194       34.405        0.00446           20             40.095
       195       33.389        0.00005           20             41.111
       196       34.345        0.00001           20             40.155
       197       35.027        0.00412           20             39.473
       198       34.439        0.00039           20             40.061
       199       34.534        0.00015           20             39.966
       200       34.935        0.00182           20             39.565
       201       34.704        0.00343           20             39.796
       202       36.7          0.00062           20             37.8
       203       36.203        0.00417           20             38.297
       204       35.031        0.00226           20             39.469
       205       36.765        0.00101           20             37.735
       206       36.197        0.00054           20             38.303
       207       37.879        0.00077           20             36.621
       208       38.035        0.00033           20             36.465
       209       36.863        0.00115           20             37.637
       210       37.238        0.00153           20             37.262
       211       36.658        0.00000           20             37.842
       212       36.49         0.00030           20             38.01
       213       37.3          0.00032           20             37.2
       214       40.299        0.00056           20             34.201
       215       39.849        0.00000           20             34.651
       216       40.998        0.00019           20             33.502
       217       41.16         0.00142           20             33.34
       218       35.049        0.00059           20             39.451
       219       33.92         0.00148           20             40.58
       220       32.144        0.00092           20             42.356
       221       34.167        0.00033           20             40.333
       222       35.097        0.00006           20             39.403
       223       31.549        0.00046           20             42.951
       224       31.745        0.00072           20             42.755
       225       32.066        0.00000           20             42.434
       226       31.944        0.00000           20             42.556
       227       31.657        0.00020           20             42.843
       228       31.04         0.00008           20             43.46
       229       31.05         0.00130           20             43.45
       230       38.492        0.00107           20             36.008
       231       35.684        0.00103           20             38.816
       232       35.39         0.00003           20             39.11
       233       34.888        0.00115           20             39.612
       234       34.858        0.00143           20             39.642
       235       34.995        0.00486           20             39.505
       236       32.541        0.00471           20             41.959
       237       34.413        0.00134           20             40.087
       238       36.157        0.00187           20             38.343
       239       35.305        0.00082           20             39.195
       240       35.171        0.00094           20             39.329
       241       32.918        0.00009           20             41.582
       242       33.066        0.00128           20             41.434
       243       31.91         0.00043           20             42.59
       244       32.002        0.00051           20             42.498
       245       32.048        0.00000           20             42.452
       246       32.054        0.00001           20             42.446
       247       30.705        0.00001           20             43.795
       248       31.332        0.00000           20             43.168
       249       36.296        0.00175           20             38.204
       250       35.831        0.00103           20             38.669
       251       36.945        0.00126           20             37.555
       252       38.013        0.00136           20             36.487
       253       36.65         0.00014           20             37.85
       254       36.905        0.00000           20             37.595
       255       36.773        0.00196           20             37.727
       256       31.497        0.00221           20             43.003
       257       38.651        0.00062           20             35.849
       258       39.543        0.00000           20             34.957
       259       39.581        0.00050           20             34.919
       260       39.581        0.00011           20             34.919
       261       40.551        0.00012           20             33.949
       262       40.786        0.00022           20             33.714
       263       40.954        0.00128           20             33.546
       264       37.755        0.00019           20             36.745
       265       35.963        0.00022           20             38.537
       266       36.809        0.00119           20             37.691
       267       36.211        0.00169           20             38.289
       268       35.612        0.00043           20             38.888 #;
#reservoirs and tanks
       269       67            0                 5              5
       270       68            0                 5.8            5.8
       271       0             0                 73             73
       272       0             0                 74.5           74.5 ;

#Pipe's parameters: start node, end node, length, maximum velocity

param: PIPE:      node1            node2          length    dKc        vmax    :=
       1          1                16             46.843    130        2
       2          16               2              267.677   130        2
       3          2                3              541.065   130        2
       4          3                4              542.294   130        2
       5          4                5              404.716   130        2
       6          5                206            151.672   130        2
       7          206              6              341.569   130        2
       8          1                140            39.908    130        2
       9          140              143            269.729   130        2
       10         143              145            45.917    130        2
       11         145              146            890.088   130        2
       12         146              148            33.789    130        2
       13         148              63             6.028     130        2
       14         63               149            367.921   130        2
       15         149              150            97.658    130        2
       16         150              60             322.195   130        2
       17         60               61             359.475   130        2
       18         61               218            199.588   130        2
       19         1                141            57.065    130        2
       20         141              142            223.414   130        2
       21         142              144            47.034    130        2
       22         144              257            782.670   130        2
       23         257              53             231.871   130        2
       24         53               251            279.843   130        2
       25         251              57             145.703   130        2
       26         57               58             81.098    130        2
       27         58               59             550.168   130        2
       28         53               230            155.628   130        2
       29         230              252            357.812   130        2
       30         252              3              267.318   130        2
       31         3                13             612.501   130        2
       32         13               12             160.500   130        2
       33         12               11             531.713   130        2
       34         1                258            41.906    130        2
       35         258              259            95.215    130        2
       36         259              260            25.127    130        2
       37         260              215            158.124   130        2
       38         215              261            95.397    130        2
       39         261              77             52.920    130        2
       40         77               262            44.918    130        2
       41         262              216            127.045   130        2
       42         216              263            56.682    130        2
       43         263              76             181.288   130        2
       44         76               217            220.900   130        2
       45         217              75             67.648    130        2
       46         75               74             36.059    130        2
       47         74               73             242.294   130        2
       48         73               72             70.455    130        2
       49         72               71             112.827   130        2
       50         71               70             105.717   130        2
       51         70               69             199.424   130        2
       52         69               68             180.639   130        2
       53         68               78             288.764   130        2
       54         78               154            69.261    130        2
       55         154              79             718.445   130        2
       56         79               155            390.779   130        2
       57         155              156            24.004    130        2
       58         156              95             504.523   130        2
       59         95               96             41.776    130        2
       60         96               97             367.934   130        2
       61         97               157            101.859   130        2
       62         157              98             125.360   130        2
       63         98               158            699.760   130        2
       64         158              136            448.054   130        2
       65         136              159            114.289   130        2
       66         159              160            197.304   130        2
       67         160              137            235.980   130        2
       68         137              135            224.870   130        2
       69         135              222            176.728   130        2
       70         222              161            76.438    130        2
       71         161              131            356.944   130        2
       72         131              242            443.789   130        2
       73         242              130            20.550    130        2
       74         130              241            113.332   130        2
       75         241              168            25.959    130        2
       76         168              167            145.037   130        2
       77         167              166            55.243    130        2
       78         166              129            208.218   130        2
       79         129              125            190.433   130        2
       80         125              246            70.983    130        2
       81         246              245            52.042    130        2
       82         245              124            34.034    130        2
       83         124              225            79.471    130        2
       84         225              226            277.993   130        2
       85         176              227            86.029    130        2
       86         227              177            296.255   130        2
       87         177              180            111.299   130        2
       88         180              178            123.368   130        2
       89         178              179            196.271   130        2
       90         179              228            198.458   130        2
       91         228              229            75.618    130        2
       92         229              121            110.143   130        2
       93         121              118            423.574   130        2
       94         118              117            116.569   130        2
       95         117              181            100.612   130        2
       96         181              182            164.842   130        2
       97         182              116            47.487    130        2
       98         116              247            87.538    130        2
       99         49               184            189.266   130        2
       100        184              41             244.799   130        2
       101        41               248            293.470   130        2
       102        248              40             308.638   130        2
       103        40               39             566.566   130        2
       104        226              176            95.143    130        2
       105        247              183            248.547   130        2
       106        183              49             187.785   130        2
       107        39               38             357.671   130        2
       108        38               37             700.573   130        2
       109        37               193            404.463   130        2
       110        193              36             160.864   130        2
       111        36               194            557.418   130        2
       112        194              27             127.015   130        2
       113        27               26             46.660    130        2
       114        26               195            674.323   130        2
       115        195              33             50.758    130        2
       116        26               196            138.536   130        2
       117        196              25             199.330   130        2
       118        25               232            231.120   130        2
       119        232              24             187.064   130        2
       120        24               231            240.644   130        2
       121        231              7              173.442   130        2
       122        7                6              23.581    130        2
       123        6                28             526.738   130        2
       124        28               249            500.719   130        2
       125        249              29             15.289    130        2
       126        7                8              265.917   130        2
       127        8                23             355.515   130        2
       128        23               207            189.777   130        2
       129        207              208            28.178    130        2
       130        208              22             129.340   130        2
       131        22               21             361.243   130        2
       132        21               264            223.518   130        2
       133        20               210            185.174   130        2
       134        210              209            154.948   130        2
       135        209              19             34.712    130        2
       136        264              20             31.141    130        2
       137        19               253            42.520    130        2
       138        253              18             356.448   130        2
       139        18               211            128.823   130        2
       140        211              212            140.659   130        2
       141        212              11             113.316   130        2
       142        11               10             555.228   130        2
       143        10               4              272.682   130        2
       144        59               203            315.876   130        2
       145        203              202            284.930   130        2
       146        202              31             97.928    130        2
       147        265              32             262.939   130        2
       148        32               33             635.819   130        2
       149        33               34             415.728   130        2
       150        34               35             122.602   130        2
       151        265              31             29.564    130        2
       152        59               205            33.803    130        2
       153        205              88             377.122   130        2
       154        88               89             629.167   130        2
       155        89               90             133.279   130        2
       156        90               91             348.046   130        2
       157        91               234            292.890   130        2
       158        234              109            488.988   130        2
       159        138              235            289.876   130        2
       160        235              110            486.724   130        2
       161        102              106            260.923   130        2
       162        106              91             163.584   130        2
       163        48               108            424.074   130        2
       164        108              109            173.661   130        2
       165        109              110            99.546    130        2
       166        110              111            307.915   130        2
       167        59               204            283.843   130        2
       168        204              200            141.490   130        2
       169        200              100            58.270    130        2
       170        100              199            79.589    130        2
       171        199              198            39.409    130        2
       172        198              101            126.245   130        2
       173        29               30             61.391    130        2
       174        30               31             73.726    130        2
       175        31               250            83.164    130        2
       176        250              197            118.215   130        2
       177        197              101            297.213   130        2
       178        101              221            17.083    130        2
       179        221              139            58.106    130        2
       180        139              219            135.499   130        2
       181        139              192            255.849   130        2
       182        192              191            40.646    130        2
       183        219              102            161.593   130        2
       184        191              190            136.287   130        2
       185        190              105            57.232    130        2
       186        105              189            164.016   130        2
       187        189              35             192.864   130        2
       188        105              104            234.583   130        2
       189        104              103            215.821   130        2
       190        102              103            231.926   130        2
       191        91               138            134.120   130        2
       192        138              112            175.334   130        2
       193        112              113            231.121   130        2
       194        112              92             607.941   130        2
       195        257              147            122.126   130        2
       196        147              63             40.062    130        2
       197        63               64             301.373   130        2
       198        64               65             102.066   130        2
       199        65               80             1094.730  130        2
       200        65               66             199.734   130        2
       201        66               67             160.587   130        2
       202        67               68             82.494    130        2
       203        80               266            137.419   130        2
       204        266              84             229.414   130        2
       205        84               267            111.379   130        2
       206        267              85             105.081   130        2
       207        85               173            292.341   130        2
       208        173              172            47.389    130        2
       209        172              92             324.071   130        2
       210        93               268            120.757   130        2
       211        268              114            187.566   130        2
       212        89               92             314.624   130        2
       213        92               93             157.180   130        2
       214        93               238            103.320   130        2
       215        238              133            308.213   130        2
       216        133              239            205.049   130        2
       217        239              134            234.719   130        2
       218        134              162            109.111   130        2
       219        162              163            262.039   130        2
       220        163              240            152.572   130        2
       221        240              135            240.233   130        2
       222        114              113            381.948   130        2
       223        113              115            374.770   130        2
       224        115              236            318.587   130        2
       225        236              111            104.733   130        2
       226        111              220            43.251    130        2
       227        220              122            406.866   130        2
       228        122              123            386.736   130        2
       229        123              175            106.491   130        2
       230        175              174            85.645    130        2
       231        174              223            214.064   130        2
       232        223              224            117.615   130        2
       233        224              124            203.235   130        2
       234        16               17             29.271    130        2
       235        17               214            170.939   130        2
       236        214              15             252.737   130        2
       237        15               213            325.904   130        2
       238        213              14             350.989   130        2
       239        14               12             118.264   130        2
       240        4                54             207.605   130        2
       241        54               55             285.733   130        2
       242        55               56             322.717   130        2
       243        56               57             265.110   130        2
       244        10               9              406.846   130        2
       245        9                8              518.867   130        2
       246        9                5              397.022   130        2
       247        58               60             493.323   130        2
       248        60               151            140.278   130        2
       249        151              152            195.395   130        2
       250        152              83             175.121   130        2
       251        83               153            145.496   130        2
       252        153              84             132.257   130        2
       253        218              62             54.371    130        2
       254        62               87             317.185   130        2
       255        87               171            294.189   130        2
       256        171              170            100.684   130        2
       257        170              92             238.218   130        2
       258        85               87             339.222   130        2
       259        85               94             585.545   130        2
       260        95               94             247.160   130        2
       261        94               254            148.806   130        2
       262        254              99             102.145   130        2
       263        99               255            387.716   130        2
       264        255              132            289.008   130        2
       265        132              133            282.407   130        2
       266        79               82             232.854   130        2
       267        82               81             210.573   130        2
       268        81               80             49.942    130        2
       269        80               83             280.346   130        2
       270        83               62             331.043   130        2
       271        62               86             225.615   130        2
       272        86               88             187.694   130        2
       273        88               233            157.868   130        2
       274        233              201            243.887   130        2
       275        201              100            101.287   130        2
       276        132              165            356.708   130        2
       277        165              164            69.683    130        2
       278        164              134            155.342   130        2
       279        134              126            906.518   130        2
       280        126              127            315.005   130        2
       281        113              169            632.684   130        2
       282        169              126            184.148   130        2
       283        127              244            123.236   130        2
       284        244              243            67.536    130        2
       285        243              128            140.377   130        2
       286        128              129            382.624   130        2
       287        106              237            294.043   130        2
       288        237              107            406.021   130        2
       289        107              108            111.833   130        2
       290        109              188            457.933   130        2
       291        188              51             165.675   130        2
       292        51               52             38.635    130        2
       293        52               256            422.280   130        2
       294        256              120            243.488   130        2
       295        120              118            220.109   130        2
       296        120              119            204.866   130        2
       297        119              117            111.094   130        2
       298        119              116            205.380   130        2
       299        119              118            55.480    130        2
       300        35               47             110.855   130        2
       301        47               187            112.891   130        2
       302        187              44             77.839    130        2
       303        44               43             153.456   130        2
       304        43               42             464.023   130        2
       305        42               41             481.272   130        2
       306        49               185            214.324   130        2
       307        185              186            383.550   130        2
       308        186              52             96.321    130        2
       309        44               45             90.521    130        2
       310        45               46             184.640   130        2
       311        46               50             291.383   130        2
       312        50               51             260.280   130        2
       313        47               48             28.446    130        2
       330        272              136            100       130        2
       331        271              1              1000      130        2
       335        269              52             1         130        2
       336        270              209            1         130        2 ;

param dmin := 0.100; # minimum diameter (should match the minimum discrete diameter)
param dmax := 0.800; # maximum diameter (should match the maximum discrete diameter)
param d:= 0.0005;   # DO NOT CHANGE
param p:=1.852;      # DO NOT CHANGE
set source:= 269 270 271 272 ;  # source nodes

#Diameter's parameters: diameter, cost 

param: DIAMSET:      discdiam                                disccost :=
 1                0.100                          27.7
 2                0.125                          38.0
 3			0.150				       40.5
 4			0.200				       55.4
 5			0.250					 75.0
 6			0.300				       92.4
 7			0.350				       123.1
 8			0.400				       141.9
 9			0.450				       169.3
10			0.500				       191.5
11 			0.600				       246.0
12                0.700                          319.6
13                0.800                          391.1 ;
